DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-07,5170142,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-08,4150147,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-09,2104257,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-10,2211399,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-11,1505908,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1997-12,1524305,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-01,1093144,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-02,1449647,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-03,1771197,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-04,2445932,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-05,2678945,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-06,2400739,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-07,4796884,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-08,4118005,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-09,2125714,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-10,2125515,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-11,1508760,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1998-12,1508765,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1999-01,1091075,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1999-02,1514824,
ESTAT:TOUR_OCC_NIM(1.0),20/09/22 23:00:00,M,TOTAL,NR,I551-I553,BE,1999-03,1748997,
