DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-01,87.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-02,87.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-03,87.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-04,87.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-05,87.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-06,87.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-07,86.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-08,86.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-09,86.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-10,86.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-11,87.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2005-12,86.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-01,87.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-02,87.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-03,88.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-04,88.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-05,89.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-06,88.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-07,89.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-08,89.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-09,89.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-10,89.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-11,89.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2006-12,89.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-01,90.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-02,90.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-03,91.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-04,91.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-05,92.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-06,92.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-07,92.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-08,93.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-09,93.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-10,93.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-11,94.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2007-12,94.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-01,95.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-02,95.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-03,96.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-04,96.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-05,96.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-06,97.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-07,98.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-08,98.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-09,98.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-10,98.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-11,97.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2008-12,95.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-01,95.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-02,95.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-03,94.8,p
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-04,94.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-05,94.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-06,94.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-07,94.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-08,95.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-09,95.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-10,95.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-11,96.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2009-12,96.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-01,96.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-02,96.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-03,97.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-04,98.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-05,99.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-06,99.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-07,99.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-08,99.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-09,100.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-10,100.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-11,100.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2010-12,101.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-01,102.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-02,102.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-03,103.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-04,104.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-05,104.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-06,104.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-07,103.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-08,103.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-09,104.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-10,104.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-11,104.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2011-12,104.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-01,104.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-02,105.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-03,105.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-04,105.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-05,104.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-06,104.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-07,104.1,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-08,104.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-09,105.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-10,105.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-11,105.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2012-12,104.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-01,104.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-02,104.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-03,104.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-04,103.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-05,103.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-06,103.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-07,103.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-08,103.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-09,103.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-10,103.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-11,103.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2013-12,103.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-01,103.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-02,102.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-03,102.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-04,102.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-05,102.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-06,102.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-07,102.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-08,101.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-09,102.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-10,102.0,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-11,101.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2014-12,101.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-01,100.4,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-02,100.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-03,100.8,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-04,100.7,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-05,100.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-06,100.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-07,100.3,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-08,99.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-09,99.6,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-10,99.2,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-11,98.9,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2015-12,98.5,
ESTAT:STS_INPPD_M(1.0),29/09/22 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2016-01,97.5,
